symbol,hour_ms,funding_rate
BNBUSDT,1595606400000,0.00020401
BNBUSDT,1595635200000,4.774e-05
BNBUSDT,1595664000000,3.634e-05
BNBUSDT,1595692800000,0.0
BNBUSDT,1595721600000,0.00012314
BNBUSDT,1595750400000,0.00052438
BNBUSDT,1595779200000,0.00015007
BNBUSDT,1595808000000,0.00014051
BNBUSDT,1595836800000,0.00073344
BNBUSDT,1595865600000,0.00015918
BNBUSDT,1595894400000,0.00012999
BNBUSDT,1595923200000,0.00027606
BNBUSDT,1595952000000,0.00076482
BNBUSDT,1595980800000,0.00017989
BNBUSDT,1596009600000,0.00062354
BNBUSDT,1596038400000,0.00068354
BNBUSDT,1596067200000,0.0005463
BNBUSDT,1596096000000,0.00044976
BNBUSDT,1596124800000,0.00042414
BNBUSDT,1596153600000,0.00061617
BNBUSDT,1596182400000,0.00051379
BNBUSDT,1596211200000,0.00024454
BNBUSDT,1596240000000,0.00010009
BNBUSDT,1596268800000,0.00027659
BNBUSDT,1596297600000,0.0002282
BNBUSDT,1596326400000,0.00129589
BNBUSDT,1596355200000,0.0
BNBUSDT,1596384000000,0.0
BNBUSDT,1596412800000,0.0
BNBUSDT,1596441600000,0.0
BNBUSDT,1596470400000,0.00049705
BNBUSDT,1596499200000,0.000442
BNBUSDT,1596528000000,0.00069085
BNBUSDT,1596556800000,0.00060812
BNBUSDT,1596585600000,0.00043398
BNBUSDT,1596614400000,0.00027106
BNBUSDT,1596643200000,0.0
BNBUSDT,1596672000000,0.0
BNBUSDT,1596700800000,-0.00013679
BNBUSDT,1596729600000,-0.00020248
BNBUSDT,1596758400000,0.0
BNBUSDT,1596787200000,0.0
BNBUSDT,1596816000000,0.0
BNBUSDT,1596844800000,-0.00219836
BNBUSDT,1596873600000,-0.00055752
BNBUSDT,1596902400000,-0.00150728
BNBUSDT,1596931200000,-0.00058693
BNBUSDT,1596960000000,-0.00029548
BNBUSDT,1596988800000,-0.00036793
BNBUSDT,1597017600000,0.0
BNBUSDT,1597046400000,0.0
BNBUSDT,1597075200000,0.00035918
BNBUSDT,1597104000000,0.00041831
BNBUSDT,1597132800000,0.00024776
BNBUSDT,1597161600000,0.0
BNBUSDT,1597190400000,0.0
BNBUSDT,1597219200000,0.0
BNBUSDT,1597248000000,0.00019557
BNBUSDT,1597276800000,0.0
BNBUSDT,1597305600000,0.00074298
BNBUSDT,1597334400000,0.00063237
BNBUSDT,1597363200000,0.00075067
BNBUSDT,1597392000000,0.00057341
BNBUSDT,1597420800000,0.00097859
BNBUSDT,1597449600000,0.00014737
BNBUSDT,1597478400000,0.00038377
BNBUSDT,1597507200000,0.00053827
BNBUSDT,1597536000000,0.00042953
BNBUSDT,1597564800000,0.00017072
BNBUSDT,1597593600000,0.00014081
BNBUSDT,1597622400000,0.00066913
BNBUSDT,1597651200000,0.0005746
BNBUSDT,1597680000000,0.00047913
BNBUSDT,1597708800000,0.00156863
BNBUSDT,1597737600000,0.00080128
BNBUSDT,1597766400000,0.00047931
BNBUSDT,1597795200000,0.00014429
BNBUSDT,1597824000000,0.00015509
BNBUSDT,1597852800000,0.00037422
BNBUSDT,1597881600000,0.00133633
BNBUSDT,1597910400000,0.0004041
BNBUSDT,1597939200000,0.00045232
BNBUSDT,1597968000000,0.00072622
BNBUSDT,1597996800000,0.0002474
BNBUSDT,1598025600000,0.0001544
BNBUSDT,1598054400000,0.00016151
BNBUSDT,1598083200000,0.0
BNBUSDT,1598112000000,7.395e-05
BNBUSDT,1598140800000,0.00027256
BNBUSDT,1598169600000,0.00023605
BNBUSDT,1598198400000,6.471e-05
BNBUSDT,1598227200000,0.0
BNBUSDT,1598256000000,0.0001374
BNBUSDT,1598284800000,0.00031156
BNBUSDT,1598313600000,0.00039606
BNBUSDT,1598342400000,0.00015343
BNBUSDT,1598371200000,0.00027732
BNBUSDT,1598400000000,0.00018175
BNBUSDT,1598428800000,0.00014978
BNBUSDT,1598457600000,0.00026014
BNBUSDT,1598486400000,0.00019237
BNBUSDT,1598515200000,0.00012595
BNBUSDT,1598544000000,0.00020294
BNBUSDT,1598572800000,0.00016187
BNBUSDT,1598601600000,0.00065202
BNBUSDT,1598630400000,0.00063368
BNBUSDT,1598659200000,0.00010505
BNBUSDT,1598688000000,0.00031093
BNBUSDT,1598716800000,0.00038383
BNBUSDT,1598745600000,0.00048968
BNBUSDT,1598774400000,0.0002535
BNBUSDT,1598803200000,0.00070995
BNBUSDT,1598832000000,0.00084799
BNBUSDT,1598860800000,0.00038615
BNBUSDT,1598889600000,0.00014816
BNBUSDT,1598918400000,0.00052251
BNBUSDT,1598947200000,0.00068999
BNBUSDT,1598976000000,0.00106256
BNBUSDT,1599004800000,0.0020059
BNBUSDT,1599033600000,0.00070794
BNBUSDT,1599062400000,0.00037792
BNBUSDT,1599091200000,0.00048099
BNBUSDT,1599120000000,0.00015812
BNBUSDT,1599148800000,0.00032226
BNBUSDT,1599177600000,0.0
BNBUSDT,1599206400000,0.0
BNBUSDT,1599235200000,-9.235e-05
BNBUSDT,1599264000000,-0.00035671
BNBUSDT,1599292800000,0.0
BNBUSDT,1599321600000,-0.00098128
BNBUSDT,1599350400000,-0.00227287
BNBUSDT,1599379200000,-0.00038531
BNBUSDT,1599408000000,0.0
BNBUSDT,1599436800000,0.0
BNBUSDT,1599465600000,0.0
BNBUSDT,1599494400000,-0.00145349
BNBUSDT,1599523200000,-0.00081396
BNBUSDT,1599552000000,-0.00186081
BNBUSDT,1599580800000,-0.00095672
BNBUSDT,1599609600000,-0.00112424
BNBUSDT,1599638400000,-0.00151416
BNBUSDT,1599667200000,-7.669e-05
BNBUSDT,1599696000000,-0.00014308
BNBUSDT,1599724800000,0.0
BNBUSDT,1599753600000,-5.155e-05
BNBUSDT,1599782400000,-0.00055362
BNBUSDT,1599811200000,-0.00055812
BNBUSDT,1599840000000,-0.00015613
BNBUSDT,1599868800000,-0.00044648
BNBUSDT,1599897600000,-0.00091674
BNBUSDT,1599926400000,-0.00171385
BNBUSDT,1599955200000,-0.00136262
BNBUSDT,1599984000000,-0.00046387
BNBUSDT,1600012800000,-0.00218179
BNBUSDT,1600041600000,-0.00170488
BNBUSDT,1600070400000,-0.00177477
BNBUSDT,1600099200000,-0.0025029
BNBUSDT,1600128000000,-0.00162444
BNBUSDT,1600156800000,-0.00050242
BNBUSDT,1600185600000,-0.0021692
BNBUSDT,1600214400000,-0.00066392
BNBUSDT,1600243200000,-0.00044773
BNBUSDT,1600272000000,-0.00158392
BNBUSDT,1600300800000,-0.00065281
BNBUSDT,1600329600000,-7.914e-05
BNBUSDT,1600358400000,0.0
BNBUSDT,1600387200000,-0.00013131
BNBUSDT,1600416000000,-0.00116222
BNBUSDT,1600444800000,0.0
BNBUSDT,1600473600000,0.0
BNBUSDT,1600502400000,9.9e-07
BNBUSDT,1600531200000,0.00036939
BNBUSDT,1600560000000,0.00046118
BNBUSDT,1600588800000,0.00042487
BNBUSDT,1600617600000,0.0
BNBUSDT,1600646400000,6.052e-05
BNBUSDT,1600675200000,0.0
BNBUSDT,1600704000000,0.0
BNBUSDT,1600732800000,0.0
BNBUSDT,1600761600000,0.0
BNBUSDT,1600790400000,0.0
BNBUSDT,1600819200000,0.0
BNBUSDT,1600848000000,0.0
BNBUSDT,1600876800000,0.0
BNBUSDT,1600905600000,0.0
BNBUSDT,1600934400000,0.0
BNBUSDT,1600963200000,0.0
BNBUSDT,1600992000000,0.0
BNBUSDT,1601020800000,-0.00014236
BNBUSDT,1601049600000,0.0
BNBUSDT,1601078400000,0.0
BNBUSDT,1601107200000,0.0
BNBUSDT,1601136000000,0.0
BNBUSDT,1601164800000,-0.00067742
BNBUSDT,1601193600000,-0.00135555
BNBUSDT,1601222400000,-0.00065884
BNBUSDT,1601251200000,-0.00098357
BNBUSDT,1601280000000,0.0
BNBUSDT,1601308800000,-0.00060424
BNBUSDT,1601337600000,-0.00160076
BNBUSDT,1601366400000,-0.00138124
BNBUSDT,1601395200000,-0.00151
BNBUSDT,1601424000000,-0.00066187
BNBUSDT,1601452800000,-0.00223882
BNBUSDT,1601481600000,-0.00281779
BNBUSDT,1601510400000,-0.00123407
